Отдаленно-синий;214,48,55;73,103,141;48,27,0,45;49678D
Мятно-бирюзовый;171,42,49;73,126,118;42,0,6,51;497E76
Пурпурно-фиолетовый;337,66,29;74,25,44;0,66,41,71;4A192C
Серовато-синий;207,20,36;74,84,92;20,9,0,64;4A545C
Индиго;275,100,51;75,0,130;42,100,0,49;4B0082
Махагон коричневый;13,49,30;76,47,39;0,38,49,70;4C2F27
Брезентово-серый;103,9,32;76,81,74;6,0,9,68;4C514A
Маренго;212,25,40;76,88,102;25,14,0,60;4C5866
Майский зеленый;112,55,57;76,145,65;48,0,55,43;4C9141
Ирландский зеленый;101,88,73;76,187,23;59,0,88,27;4CBB17
Глубокий коричневый;19,82,30;77,34,14;0,56,82,70;4D220E
Оливково-серый;34,32,30;77,66,52;0,14,32,70;4D4234
Зелено-серый;92,20,34;77,86,69;10,0,20,66;4D5645
Фелдграу;143,17,36;77,93,83;17,0,11,64;4D5D53
Терракотовый;21,37,31;78,59,49;0,24,37,69;4E3B31
Цвет мокрого асфальта с зеленым;160,7,33;78,84,82;7,0,2,67;4E5452
Базальтово-серый;160,10,34;78,87,84;10,0,3,66;4E5754
Очень глубокий красный;345,100,31;79,0,20;0,100,75,69;4F0014
Темный красновато-пурпурный;332,51,31;79,39,58;0,51,27,69;4F273A
Зеленый папоротник;106,45,47;79,121,66;35,0,45,53;4F7942
Коричневато-серый;21,36,31;80,61,51;0,24,36,69;503D33
Цвет мокрого асфальта;0,0,31;80,80,80;0,0,0,69;505050
Кленовый зеленый;93,66,49;80,125,42;36,0,66,51;507D2A
Изумрудный;140,60,78;80,200,120;60,0,40,22;50C878
Темный красновато-серый;13,34,32;82,60,54;0,27,34,68;523C36
Серовато-оливковый;38,46,32;82,68,44;0,17,46,68;52442C
Глубокий пурпурный;303,69,33;83,26,80;0,69,4,67;531A50
Насыщенный фиолетовый;265,55,48;83,55,122;32,55,0,52;53377A
Ливерный;330,10,33;83,75,79;0,10,5,67;534B4F
Умеренный фиолетовый;278,43,39;84,57,100;16,43,0,61;543964
Морской зеленый;146,67,100;84,255,159;67,0,38,0;54FF9F
Темно-оливковый;81,52,41;85,104,50;18,0,52,59;556832
Очень темный алый;344,97,34;86,3,25;0,97,71,66;560319
Темный пурпурно-серый;355,26,34;86,64,66;0,26,23,66;564042
Серовато-зеленый;86,17,37;87,94,78;7,0,17,63;575E4E
Темный Желто-зеленый;103,66,65;87,166,57;48,0,66,35;57A639
Резедово-зеленый;95,39,45;88,114,70;23,0,39,55;587246
Красно-коричневый;2,63,35;89,35,33;0,61,63,65;592321
Глубокий желтовато-коричневый;26,76,35;89,51,21;0,43,76,65;593315
Олень коричневый;23,65,35;89,53,31;0,40,65,65;59351F
Серовато-коричневый;19,47,35;90,61,48;0,32,47,65;5A3D30
Темный пурпурно-красный;341,67,36;91,30,49;0,67,46,64;5B1E31
Орехово-коричневый;20,55,36;91,58,41;0,36,55,64;5B3A29
Темная Византия;315,39,36;93,57,84;0,39,10,64;5D3954
Индиго Крайола;226,54,80;93,118,203;54,42,0,20;5D76CB
Пастельно-синий;180,40,61;93,155,155;40,0,0,39;5D9B9B
Винно-красный;352,65,37;94,33,41;0,65,56,63;5E2129
Серовато-красновато-коричневый;10,49,37;94,56,48;0,40,49,63;5E3830
Умеренно-оливковый;44,84,37;94,73,15;0,22,84,63;5E490F
Серо-синий;182,41,63;95,158,160;41,1,0,37;5F9EA0
Голубино-синий;221,31,55;96,110,140;31,21,0,45;606E8C
Баклажаннный Крайола;329,34,38;97,64,81;0,34,16,62;614051
Блестящий пурпурно-синий;239,37,61;98,99,155;37,36,0,39;62639B
Каштаново-коричневый;8,47,39;99,58,52;0,41,47,61;633A34
Глубокий красновато-пурпурный;320,81,39;100,19,73;0,81,27,61;641349
Бордово-фиолетовый;340,72,39;100,28,52;0,72,48,61;641C34
Оксид красный;0,64,39;100,36,36;0,64,64,61;642424
Умеренный оливково-коричневый;35,85,39;100,64,15;0,36,85,61;64400F
Мышино-серый;113,7,42;100,107,99;7,0,7,58;646B63
Васильковый;219,58,93;100,149,237;58,37,0,7;6495ED
Светлый зеленовато-синий;184,37,62;100,154,158;37,3,0,38;649A9E
Розовый лес;353,100,40;101,0,11;0,100,89,60;65000B
Темно-коричневый;30,67,40;101,67,33;0,34,67,60;654321
Умеренный желтовато-зеленый;90,41,50;101,127,75;20,0,41,50;657F4B
Сливовый;300,100,40;102,0,102;0,100,0,60;660066
Темный пурпурно-фиолетовый;280,100,60;102,0,153;33,100,0,40;660099
Персидский синий;264,100,100;102,0,255;60,100,0,0;6600FF
Сине-серый Крайола;210,50,80;102,153,204;50,25,0,20;6699CC
Светлый синевато-зеленый;153,35,62;102,158,133;35,0,16,38;669E85
Умеренный аквамариновый;160,50,80;102,205,170;50,0,17,20;66CDAA
Ярко-зеленый;96,100,100;102,255,0;60,0,100,0;66FF00
Умеренный коричневый;19,66,40;103,57,35;0,45,66,60;673923
Розово-эбонитовый;4,32,40;103,72,70;0,30,32,60;674846
Умеренный серо-коричневый;9,31,40;103,76,71;0,26,31,60;674C47
Темный красный;354,73,41;104,28,35;0,73,66,59;681C23
Серый бетон;77,13,42;104,108,94;4,0,13,58;686C5E
Тусклый серый;0,0,42;105,105,105;0,0,0,59;696969
Аспидно-синий;248,56,80;106,90,205;48,56,0,20;6A5ACD
Перламутрово-бежевый;33,27,42;106,93,77;0,12,27,58;6A5D4D
Серое хаки;48,54,42;106,95,49;0,10,54,58;6A5F31
Нежно-оливковый;80,75,56;107,142,35;25,0,75,44;6B8E23
Сигнальный коричневый;15,61,42;108,59,42;0,45,61,58;6C3B2A
Сине-сиреневый;289,40,46;108,70,117;8,40,0,54;6C4675
Перламутрово-ежевичный;260,10,45;108,104,116;7,10,0,55;6C6874
Кварцевый серый;45,11,42;108,105,96;0,3,11,58;6C6960
Серый мох;70,21,44;108,112,89;4,0,21,56;6C7059
